family_key,canonical_name,aliases,cluster,eligibility_status,scope_fit,task_types,modality,release_span,public_asset_state,license,persistent_id,primary_url,evidence_grade,source_count,source_flags,verification_note
ael,AEL,Aigle-RN; ESAR; LCMS,A,provisional,boundary_review,segmentation,2D,2017-2020,reported_active,unknown,,,Q1,1,S2_local,entry not verified
bd3,BD3 Building Defects Detection Dataset,,A,provisional,boundary_review,classification,2D RGB,2024,samples_and_code_verified_full_asset_unclear,,10.1145/3671127.3698789,https://github.com/Praveenkottari/BD3-Dataset,Q2,1,S4_gemini,"Repository contains code and samples, not the full 3,965-image asset; Kaggle mirror has unknown license."
bcl,Bridge Crack Library (BCL),,A,provisional,boundary_review,crack classification; detection,2D RGB,,source_report_only,,,,Q1,1,S3_grok,"Dataset identity reported, but official asset and lineage remain unresolved."
bridge_culvert_crack_6900,Bridge/culvert crack benchmark (6900+ images),,A,inventory_only,in_scope_no_public_asset,classification,2D RGB,2021,not_located,,,,Q1,1,S1_local,Conference paper claims a benchmark; stable distribution asset not located.
ceramic_cracks_database,Ceramic Cracks Database,Ceramic,A,provisional,boundary_review,segmentation,2D RGB,~2017,reported_active,unknown,,,Q1,1,S2_local,first-hand entry not verified
codebrim,CODEBRIM family,CODEBRIM; SegCODEBRIM,A,include,in_scope,detection,2D RGB,2019,two_primary_records_verified,see page,10.5281/zenodo.2620293; 10.5281/zenodo.10071534,https://zenodo.org/records/2620293,Q2,4,S1_local;S2_local;S3_grok;S4_gemini,"SegCODEBRIM reuses CODEBRIM images and adds crack masks; one family, two releases."
concrete_beam_column_2025,Concrete beam/column crack dataset (2025),,A,provisional,boundary_review,classification; detection,2D RGB,2025,source_report_only,,,,Q1,1,S1_local,Data-paper identity reported; repository and exact dataset title still require normalization.
crack500,CRACK500,Crack500,A,include,in_scope,segmentation,2D RGB,2019,reported_active,see repo,10.17632/wddt4gbttd.1 (derivative),https://github.com/fyangneil/pavement-crack-detection,Q2,2,S2_local;S3_grok,"public, verified repo"
cfd,CrackForest Dataset,CFD,A,provisional,boundary_review,segmentation,2D RGB,2016,reported_active,not stated,,https://github.com/cuilimeng/CrackForest-dataset,Q2/Q1,2,S2_local;S3_grok,official original entry defunct; license unstated
cif,Cracks in Foundation (CiF),,A,provisional,boundary_review,classification; detection; segmentation,2D RGB,2026,source_report_only,,arXiv:2605.18413,https://arxiv.org/abs/2605.18413,Q2,1,S3_grok,Preprint identity verified; public asset and license require independent check.
crackseg9k,CrackSeg9k,,A,include,in_scope,segmentation; detection (derived boxes); classification (crack type),2D RGB,2022,reported_active,see Dataverse,10.7910/DVN/EGIEBY,https://doi.org/10.7910/DVN/EGIEBY,Q2,2,S2_local;S3_grok,"combination benchmark; flagged derived, no new observations"
cracktree,CrackTree200 / CrackTree260,CrackTree206,A,provisional,boundary_review,segmentation,2D RGB,2012,reported_active,not stated,,,Q1,1,S2_local,access unverified
crackvariety,CrackVariety,,A,include,in_scope,detection,2D RGB,2025,reported_active,see repo,,https://github.com/Lucien430/CrackVariety-Dataset,Q2,1,S2_local,public github dataset with calibration info
cubit_det,CUBIT-Det,CUIBT-Det (typo in paper),A,provisional,boundary_review,detection,2D RGB,2024,claimed_or_reported,unknown,10.1016/j.autcon.2024 (S0926580524001419),,Q2,1,S2_local,claimed-public vs available conflict
dacl,dacl bridge-damage dataset family,dacl1k; dacl10k,A,include,in_scope,multilabel semantic segmentation; instance-level polygons,2D RGB,2023,official_paper_and_toolkit_verified,see challenge page,10.5281/zenodo.8360303,https://github.com/phiyodr/dacl10k-toolkit,Q2,3,S2_local;S3_grok;S4_gemini,dacl1k and dacl10k are version nodes; image overlap still needs Q3 hashes.
deepcrack,DeepCrack,,A,include,in_scope,segmentation,2D RGB,2019,reported_active,see repo,,https://github.com/yhlleo/DeepCrack,Q2,2,S2_local;S3_grok,public benchmark repo
edmcrack600,EdmCrack600,,A,include,in_scope,segmentation,2D RGB,2021,reported_active,see page,,https://data.mendeley.com (EdmCrack600),Q2,1,S2_local,public mendeley dataset
gaps,GAPs / GAPs384,German Asphalt Pavement Distress,A,provisional,boundary_review,classification; segmentation,2D grayscale,2017,reported_active,not stated,,,Q1/Q2,1,S2_local,access entry not re-verified
gyu_det,GYU-DET,Multi-defect type beam bridge dataset,A,include,in_scope,object detection,2D RGB,2025,primary_record_verified,CC BY 4.0,10.57760/sciencedb.19893,https://www.scidb.cn/detail?dataSetId=68827df9f367442c8be0c283e60ed3b7,Q2,2,S2_local;S4_gemini,Primary ScienceDB release overrides the S2 report's decision based on a later commercial reseller post.
infracracknet,InfraCrackNet dataset,,A,provisional,boundary_review,segmentation,2D RGB,2025,source_report_only,,,,Q1,1,S1_local,Paper claims data release; official distribution asset not rechecked.
lcw,Labeled Cracks in the Wild (LCW),,A,include,in_scope,semantic segmentation,2D RGB,2021 v1-v2,primary_record_verified,CC0,10.7294/16624672,https://data.lib.vt.edu/articles/dataset/Labeled_Cracks_in_the_Wild_LCW_Dataset/16624672,Q2,1,S4_gemini,"3,817 annotated structural-inspection images; Gemini cited the code repo instead of the canonical dataset record."
masonry_crack_dataset,Masonry crack dataset,Masonry,A,provisional,boundary_review,segmentation,2D RGB,2019,reported_active,unknown,,,Q1,1,S2_local,first-hand entry not verified
mdmcs,MDMCS,,A,include,in_scope,multi-defect detection/classification,2D RGB,2024,primary_record_verified,,10.17632/6x4dzzrs2h.2,https://data.mendeley.com/datasets/6x4dzzrs2h/2,Q2,1,S3_grok,Mendeley Data record and paper DOI 10.1061/JBENF2.BEENG-7893 verified.
metal_dacl,metal-dacl,,A,provisional,boundary_review,segmentation,2D RGB,2025,claimed_or_reported,unknown,,,Q2,1,S2_local,distribution entry not located
metu_concrete_crack,METU concrete-crack acquisition family,Concrete Crack Images for Classification; Concrete Crack Segmentation Dataset,A,include,in_scope,classification,2D RGB,2018,two_primary_records_verified,see page,10.17632/5y9wdsg2zt.2; 10.17632/jwsn7tfbrp.1,https://data.mendeley.com/datasets/5y9wdsg2zt/2,Q2,2,S2_local;S3_grok,"40,000 classification patches derive from 458 original images; segmentation is a separate release from the same acquisition family."
nccd_pf,NCCD-PF,,A,include,in_scope,crack classification,2D RGB,2023,paper_identity_verified,,10.1038/s41597-023-02839-z,https://doi.org/10.1038/s41597-023-02839-z,Q2,1,S3_grok,Nature Scientific Data descriptor; file-level access verification remains for DRRL.
pavedistress,PaveDistress,,A,include,in_scope,pavement distress classification; detection,2D RGB,,primary_record_verified,,10.17632/f46zt2g83x.1,https://data.mendeley.com/datasets/f46zt2g83x/1,Q2,1,S3_grok,Mendeley Data identity verified.
rissbilder_for_florian,Rissbilder for Florian,Rissbilder,A,inventory_only,in_scope_no_public_asset,segmentation,2D RGB,unknown,not_located,unknown,,,Q1,1,S2_local,used in published work but no verifiable release
rdd,Road Damage Dataset,RDD2018; RDD2019; RDD2020; RDD2022,A,include,in_scope,detection,2D RGB,2018/2019/2020/2022,reported_active,see page (CC),,https://github.com/sekilab/RoadDamageDetector,Q2,3,S1_local;S2_local;S3_grok,formal challenge dataset family
rome_road_damage,Rome Road Damage Dataset,,A,include,in_scope,object detection,2D RGB,2026,primary_record_verified,,10.1038/s41598-026-46679-4,https://doi.org/10.1038/s41598-026-46679-4,Q2,1,S1_local,"Road cracks, potholes and manholes; distinct from the RDD competition family."
s2ds,S2DS,Structural Defects Dataset,A,include,in_scope,detection; segmentation,2D RGB,2022,official_repository_verified,academic use only; redistribution prohibited,,https://github.com/ben-z-original/s2ds,Q2,2,S2_local;S4_gemini,743 segmentation patches with seven classes; Gemini narrative omitted it from the formal registry.
sdnet2018,SDNET2018,,A,include,in_scope,classification,2D RGB,2018,primary_record_verified,CC BY 4.0 article; dataset terms on repository,10.15142/T3TD19; 10.1016/j.dib.2018.11.015,https://doi.org/10.15142/T3TD19,Q2,4,S1_local;S2_local;S3_grok;S4_gemini,Corrects Gemini's unrelated Automation in Construction DOI.
sewer_ml,Sewer-ML,,A,include,boundary_review,multilabel classification,2D RGB CCTV frames,2021,reported_active,research agreement,,https://vap.aau.dk (Sewer-ML),Q2,1,S2_local,public benchmark; scope dispute logged
shanghai_metro_leakage_spalling_crack_dataset,Shanghai metro leakage/spalling/crack dataset (Feng et al. 2024),,A,inventory_only,in_scope_no_public_asset,detection; classification,2D,2024,not_located,unknown,,,Q1,1,S2_local,availability claimed by secondary source; no verifiable release found this run
structdamage,StructDamage,,A,provisional,boundary_review,classification,2D RGB,2026,claimed_or_reported,unknown,,,Q2,2,S2_local;S3_grok,combination set; entry unverified
ttd,TACK Tunnel Data (TTD),TTD,A,include,in_scope,segmentation; classification,2D grayscale (tiled 512x512),2025,official_huggingface_asset_verified,see HF page,arXiv:2512.14477,https://huggingface.co/datasets/TACK-project/TACK_Tunnel_Data,Q2,2,S2_local;S4_gemini,"Three tunnel domains and 1,298 512x512 slices; Gemini's '3 image sets' is not a sample-count field."
volker_cracks,Volker cracks,Volker,A,provisional,boundary_review,segmentation,2D RGB,unknown,reported_active,unknown,,,Q1,1,S2_local,access unverified
asphalt_ir_visible,Asphalt infrared-visible crack severity dataset,,B,include,in_scope,crack severity classification,paired infrared-visible,2024,primary_record_verified,CC BY 4.0,10.5281/zenodo.11625820,https://zenodo.org/records/11625820,Q2,1,S3_grok,Zenodo identity and license verified.
bfdd,BFDD,Building Facade Defect Detection dataset,B,include,in_scope,semantic segmentation (RGB-IR fusion),aligned RGB + IR pairs,2026,reported_active,see page,10.17632/9ych7czvyg.1,https://data.mendeley.com/datasets/9ych7czvyg,Q2,1,S2_local,best-fit Cluster B dataset; verified
flir_adas,FLIR ADAS,FLIR thermal dataset,B,provisional,boundary_review,detection,RGB + TIR (original UNALIGNED; community-aligned derivative),2018,reported_active,FLIR license,,https://www.flir.com/oem/adas/adas-dataset-form/,Q2,1,S2_local,Original RGB and thermal views are not aligned; aligned community derivatives require separate version treatment.
kaist_multispectral,KAIST Multispectral Pedestrian Dataset,KAIST,B,provisional,boundary_review,detection,RGB + TIR pairs,2015,reported_active,research agreement,,https://soonminhwang.github.io/rgbt-ped-detection/,Q2,2,S2_local;S4_gemini,"Paired RGB-T is strong, but pedestrian-only semantics are outside urban-asset inspection unless the Cluster B scope is widened."
kust4k,Kust4K,,B,include,in_scope,RGB-thermal semantic segmentation,paired RGB-thermal,2025,paper_identity_verified,,10.1038/s41597-025-05994-7,https://doi.org/10.1038/s41597-025-05994-7,Q2,1,S3_grok,Scientific Data descriptor verified.
llvip,LLVIP,,B,provisional,boundary_review,detection,strictly aligned RGB + TIR pairs,2021,reported_active,see repo,,https://github.com/bupt-ai-cz/LLVIP,Q2,1,S2_local,Strictly paired low-light pedestrian data; engineering-asset semantics are absent.
m3fd,M3FD,,B,provisional,boundary_review,detection,RGB + TIR pairs,2022,reported_active,see repo,,https://github.com/JinyuanLiu-CV/TarDAL,Q2,1,S2_local,Paired modality verified in literature; dominant targets are generic road users rather than engineering assets.
mfnet,MFNet,MFNet dataset,B,provisional,boundary_review,semantic segmentation,RGB + TIR pairs,2017,claimed_or_reported,research use,10.1109/IROS.2017.8206396,https://doi.org/10.1109/IROS.2017.8206396,Q2,2,S2_local;S4_gemini,Gemini DOI and LASNet-as-dataset-repository claims are wrong; urban-road labels fit modality but only weakly fit engineering inspection.
pst900,PST900,,B,provisional,boundary_review,semantic segmentation,RGB + TIR pairs + calibration,2020,reported_active,see repo,,https://github.com/ShreyasSkandanS/pst900_thermal_rgb,Q2,2,S1_local;S2_local,subterranean scope dispute
tbbr,Thermal Bridges on Building Rooftops (TBBR),,B,include,in_scope,thermal-bridge detection; segmentation,paired/registered RGB-thermal,2023,primary_record_verified,CC BY 4.0,10.5281/zenodo.7360996; 10.5281/zenodo.4767771,https://zenodo.org/records/7360996,Q2,1,S3_grok,Raw and annotated releases are separate version nodes of one acquisition family.
